s1, s2, s3, s4, s5, s6, s7, s8, Time
64.1, 62.0, 233.5, 246.1, 253.3, 236.6, 212.1, 195.0, 2019-03-21 00:15:54
64.0, 61.9, 250.6, 221.7, 234.9, 262.0, 231.5, 184.3, 2019-03-21 00:25:55
63.9, 61.9, 243.2, 247.1, 229.3, 222.5, 236.1, 227.5, 2019-03-21 00:35:57
63.9, 61.8, 243.6, 257.4, 234.6, 221.2, 230.8, 216.5, 2019-03-21 00:45:58
63.8, 61.9, 253.5, 233.4, 229.7, 246.4, 227.3, 197.0, 2019-03-21 00:55:59
63.8, 61.8, 236.5, 252.3, 242.0, 225.5, 220.2, 210.1, 2019-03-21 01:06:49
63.7, 61.8, 243.3, 290.6, 229.7, 203.7, 245.8, 255.3, 2019-03-21 01:16:50
63.6, 61.6, 240.2, 239.3, 245.0, 236.7, 214.8, 204.7, 2019-03-21 01:26:51
63.5, 61.6, 226.7, 243.4, 260.6, 241.1, 212.2, 194.1, 2019-03-21 01:36:53
63.5, 61.6, 245.1, 249.7, 232.9, 230.8, 229.1, 208.5, 2019-03-21 01:46:54
63.3, 61.5, 243.4, 251.3, 233.2, 222.2, 236.0, 217.5, 2019-03-21 01:56:55
63.3, 61.5, 243.1, 231.8, 232.9, 247.0, 235.2, 199.5, 2019-03-21 02:07:43
63.3, 61.4, 224.1, 245.6, 258.6, 225.5, 216.7, 220.2, 2019-03-21 02:17:44
63.2, 61.4, 238.1, 248.6, 235.5, 227.7, 237.1, 213.9, 2019-03-21 02:27:46
63.2, 61.4, 247.7, 236.3, 237.7, 226.0, 225.2, 231.3, 2019-03-21 02:37:47
63.2, 61.4, 236.6, 245.9, 245.7, 227.9, 218.9, 221.3, 2019-03-21 02:47:48
63.1, 61.4, 244.1, 250.5, 238.1, 222.5, 227.5, 225.8, 2019-03-21 02:57:49
63.0, 61.3, 246.7, 237.8, 231.1, 241.6, 235.7, 202.5, 2019-03-21 03:08:37
63.0, 61.3, 237.8, 252.2, 245.8, 228.2, 216.2, 213.9, 2019-03-21 03:18:39
63.0, 61.2, 234.7, 300.3, 244.3, 209.4, 219.5, 238.0, 2019-03-21 03:28:40
63.0, 61.2, 239.3, 243.2, 253.4, 233.5, 209.2, 206.3, 2019-03-21 03:38:41
62.9, 61.1, 237.8, 241.1, 241.7, 227.8, 233.1, 222.9, 2019-03-21 03:48:42
62.9, 61.2, 248.6, 231.2, 241.2, 251.0, 219.1, 198.1, 2019-03-21 03:58:44
62.9, 61.2, 231.5, 252.0, 250.9, 230.1, 219.2, 208.9, 2019-03-21 04:09:32
62.8, 61.2, 241.2, 237.0, 242.2, 241.6, 225.5, 201.7, 2019-03-21 04:19:33
62.8, 61.2, 246.9, 237.4, 242.4, 235.3, 223.5, 209.4, 2019-03-21 04:29:34
62.8, 61.1, 242.3, 230.4, 240.9, 242.5, 226.7, 206.0, 2019-03-21 04:39:36
62.8, 61.1, 227.9, 219.8, 283.6, 269.9, 199.3, 190.6, 2019-03-21 04:49:37
62.8, 61.1, 247.7, 250.0, 233.8, 233.5, 236.0, 203.7, 2019-03-21 04:59:38
62.8, 60.9, 235.3, 240.0, 249.0, 240.8, 219.1, 205.2, 2019-03-21 05:10:26
62.7, 61.0, 236.1, 244.9, 252.5, 239.6, 219.4, 198.3, 2019-03-21 05:20:28
62.7, 61.1, 244.6, 233.3, 237.6, 249.0, 232.0, 195.8, 2019-03-21 05:30:29
62.7, 61.2, 249.7, 254.6, 240.8, 223.8, 224.4, 220.5, 2019-03-21 05:40:30
63.2, 62.0, 251.1, 229.0, 234.6, 255.5, 233.8, 194.7, 2019-03-21 05:50:31
63.7, 62.2, 244.3, 233.8, 239.3, 241.6, 233.9, 202.4, 2019-03-21 06:01:19
63.9, 62.1, 223.1, 245.9, 271.1, 235.0, 211.5, 202.4, 2019-03-21 06:11:21
64.1, 62.2, 251.5, 226.4, 237.4, 254.7, 224.4, 194.5, 2019-03-21 06:21:22
64.0, 62.1, 237.5, 244.1, 244.3, 226.1, 226.4, 217.8, 2019-03-21 06:31:23
64.0, 62.2, 243.8, 252.3, 239.1, 222.9, 226.6, 223.4, 2019-03-21 06:41:24
64.2, 62.3, 235.2, 258.9, 238.1, 222.3, 233.6, 220.4, 2019-03-21 06:51:26
64.6, 63.0, 237.4, 245.1, 244.0, 242.3, 224.8, 191.2, 2019-03-21 07:02:14
65.2, 63.5, 233.3, 241.6, 247.3, 229.0, 221.0, 217.5, 2019-03-21 07:12:15
65.5, 63.5, 252.5, 210.2, 231.2, 291.5, 239.5, 180.6, 2019-03-21 07:22:16
65.7, 64.0, 249.3, 245.5, 230.4, 237.4, 234.5, 192.6, 2019-03-21 07:32:18
66.1, 64.5, 253.3, 245.3, 227.0, 228.5, 235.9, 212.7, 2019-03-21 07:42:19
66.2, 64.2, 254.8, 228.1, 224.5, 246.6, 237.0, 196.0, 2019-03-21 07:52:20
