s1, s2, s3, s4, s5, s6, s7, s8, Time
65.1, 63.3, 218.5, 210.2, 224.9, 226.8, 201.6, 177.0, 2019-04-09 00:14:49
65.1, 63.0, 229.3, 217.7, 219.5, 212.5, 202.2, 199.6, 2019-04-09 00:24:50
64.9, 63.0, 224.8, 231.9, 215.6, 204.1, 215.2, 195.1, 2019-04-09 00:34:52
64.8, 62.9, 210.4, 210.9, 246.6, 209.4, 189.7, 204.3, 2019-04-09 00:44:53
64.8, 62.9, 232.2, 207.8, 215.2, 238.4, 196.0, 176.6, 2019-04-09 00:54:54
64.7, 62.8, 199.2, 264.0, 247.3, 178.8, 208.9, 271.6, 2019-04-09 01:05:45
64.5, 62.7, 235.2, 205.0, 217.1, 237.1, 207.2, 172.9, 2019-04-09 01:15:46
64.5, 62.8, 239.6, 226.9, 208.1, 216.7, 215.1, 187.6, 2019-04-09 01:25:47
64.4, 62.7, 218.8, 220.2, 221.3, 214.0, 211.5, 188.6, 2019-04-09 01:35:49
64.3, 62.5, 208.8, 217.6, 237.7, 215.6, 198.2, 186.8, 2019-04-09 01:45:50
64.3, 62.5, 229.8, 212.9, 220.3, 216.1, 213.7, 192.0, 2019-04-09 01:55:51
64.3, 62.6, 224.6, 240.4, 215.5, 201.6, 221.3, 203.9, 2019-04-09 02:06:40
64.2, 62.6, 228.2, 213.4, 228.1, 217.1, 198.2, 207.2, 2019-04-09 02:16:42
64.2, 62.4, 227.1, 204.0, 235.0, 228.7, 195.1, 195.9, 2019-04-09 02:26:43
64.1, 62.5, 213.8, 213.7, 226.2, 228.5, 209.2, 175.4, 2019-04-09 02:36:44
64.0, 62.3, 221.0, 225.9, 229.6, 203.5, 207.5, 209.1, 2019-04-09 02:46:45
64.0, 62.2, 217.8, 209.7, 242.8, 220.3, 197.2, 196.7, 2019-04-09 02:56:47
64.0, 62.2, 220.5, 198.6, 247.6, 227.9, 198.2, 196.1, 2019-04-09 03:07:35
63.9, 62.3, 223.0, 229.9, 217.8, 213.9, 217.2, 198.9, 2019-04-09 03:17:37
63.9, 62.2, 225.7, 228.7, 217.7, 215.2, 217.4, 188.2, 2019-04-09 03:27:38
63.9, 62.1, 211.4, 227.3, 232.7, 203.6, 217.2, 205.0, 2019-04-09 03:37:39
63.8, 62.1, 232.1, 266.6, 205.0, 196.7, 237.8, 205.8, 2019-04-09 03:47:41
63.8, 62.1, 252.2, 212.7, 205.7, 246.0, 221.9, 171.2, 2019-04-09 03:57:42
63.7, 61.9, 220.2, 217.0, 232.9, 226.7, 198.7, 185.3, 2019-04-09 04:08:30
63.7, 61.9, 227.4, 226.5, 225.0, 209.5, 213.0, 205.0, 2019-04-09 04:18:32
63.7, 62.0, 217.7, 254.5, 218.8, 201.6, 220.9, 200.5, 2019-04-09 04:28:33
63.7, 62.0, 217.7, 225.3, 225.4, 219.4, 214.1, 186.5, 2019-04-09 04:38:34
63.8, 62.4, 220.6, 212.7, 231.9, 225.5, 210.0, 186.9, 2019-04-09 04:48:36
64.0, 62.4, 228.5, 211.9, 220.5, 242.4, 205.2, 178.4, 2019-04-09 04:58:37
63.9, 62.1, 229.7, 225.8, 222.7, 216.2, 209.3, 198.8, 2019-04-09 05:09:26
63.9, 62.2, 235.3, 225.4, 206.6, 227.4, 232.4, 174.0, 2019-04-09 05:19:27
63.8, 62.1, 227.9, 238.7, 217.3, 218.6, 210.6, 185.6, 2019-04-09 05:29:29
64.0, 62.2, 230.2, 208.7, 232.5, 228.3, 201.8, 188.7, 2019-04-09 05:39:30
64.2, 62.4, 236.7, 212.6, 216.9, 229.8, 213.7, 187.7, 2019-04-09 05:49:31
64.0, 62.4, 247.4, 242.4, 197.0, 222.2, 246.6, 174.8, 2019-04-09 05:59:33
64.0, 62.2, 235.4, 227.7, 208.9, 220.9, 222.5, 182.7, 2019-04-09 06:10:21
64.0, 62.1, 245.0, 231.8, 211.4, 214.0, 224.8, 190.2, 2019-04-09 06:20:23
63.9, 62.1, 212.9, 222.2, 226.7, 223.0, 212.3, 180.2, 2019-04-09 06:30:24
64.0, 62.2, 241.8, 238.1, 207.7, 220.0, 220.8, 187.8, 2019-04-09 06:40:25
64.1, 62.4, 223.6, 265.7, 217.4, 192.6, 235.8, 220.9, 2019-04-09 06:50:27
64.7, 63.1, 225.0, 203.7, 235.4, 237.4, 202.6, 182.5, 2019-04-09 07:01:15
65.4, 63.9, 228.6, 243.4, 205.8, 220.9, 234.9, 178.0, 2019-04-09 07:11:17
65.8, 64.1, 225.9, 198.3, 232.2, 248.5, 202.3, 173.7, 2019-04-09 07:21:18
66.0, 64.4, 242.4, 221.9, 207.1, 223.5, 217.9, 187.4, 2019-04-09 07:31:19
66.3, 64.6, 242.5, 218.9, 217.3, 215.3, 212.3, 194.5, 2019-04-09 07:41:21
66.4, 64.4, 223.8, 216.8, 233.5, 214.5, 193.8, 200.1, 2019-04-09 07:51:22
66.3, 64.3, 240.5, 213.2, 203.8, 231.6, 224.2, 173.2, 2019-04-09 08:02:11
66.4, 64.5, 227.6, 213.3, 226.1, 216.5, 196.2, 195.0, 2019-04-09 08:12:12
66.3, 64.2, 215.2, 228.2, 234.6, 211.3, 193.8, 189.3, 2019-04-09 08:22:14
66.4, 64.2, 222.0, 210.2, 219.6, 224.6, 202.9, 182.8, 2019-04-09 08:32:15
66.4, 64.2, 227.4, 227.6, 220.2, 201.2, 204.6, 220.2, 2019-04-09 08:42:16
66.4, 64.3, 219.9, 214.4, 237.5, 206.7, 192.0, 213.0, 2019-04-09 08:52:18
