s1, s2, s3, s4, s5, s6, s7, s8, Time
63.6, 61.6, 239.6, 231.2, 228.0, 233.3, 231.3, 202.5, 2019-03-24 00:16:34
63.4, 61.7, 248.5, 231.8, 229.9, 236.4, 226.2, 197.6, 2019-03-24 00:26:35
63.3, 61.6, 242.8, 236.7, 224.1, 236.5, 237.3, 188.3, 2019-03-24 00:36:36
63.2, 61.4, 221.6, 239.2, 249.8, 226.2, 218.3, 204.1, 2019-03-24 00:46:38
63.3, 61.6, 243.7, 224.3, 242.4, 242.7, 212.0, 202.8, 2019-03-24 00:56:39
63.4, 61.6, 248.5, 219.9, 243.4, 251.1, 209.7, 200.5, 2019-03-24 01:07:24
63.3, 61.5, 229.3, 246.6, 243.8, 221.7, 217.9, 211.6, 2019-03-24 01:17:25
63.4, 61.6, 237.5, 242.8, 226.6, 229.1, 241.3, 195.4, 2019-03-24 01:27:26
63.3, 61.4, 246.9, 230.3, 236.0, 234.3, 220.5, 207.4, 2019-03-24 01:37:27
63.3, 61.4, 250.5, 226.6, 228.5, 245.2, 230.4, 193.8, 2019-03-24 01:47:29
63.4, 61.4, 235.8, 244.3, 232.6, 235.4, 217.7, 198.0, 2019-03-24 01:57:30
63.3, 61.4, 247.1, 237.0, 240.4, 229.6, 211.3, 213.3, 2019-03-24 02:07:43
63.3, 61.5, 234.3, 231.1, 240.6, 233.7, 228.3, 203.8, 2019-03-24 02:17:44
63.4, 61.4, 249.6, 226.6, 236.5, 239.9, 224.7, 203.5, 2019-03-24 02:27:46
63.3, 61.3, 229.6, 224.8, 260.0, 241.4, 206.0, 199.6, 2019-03-24 02:37:47
63.4, 61.5, 242.3, 238.4, 233.4, 230.4, 226.8, 204.6, 2019-03-24 02:47:49
63.3, 61.4, 244.5, 241.6, 227.1, 227.1, 241.5, 207.2, 2019-03-24 02:57:50
63.3, 61.2, 253.2, 254.3, 217.3, 219.4, 259.8, 208.5, 2019-03-24 03:08:03
63.4, 61.4, 253.8, 230.6, 226.6, 240.6, 227.9, 199.5, 2019-03-24 03:18:05
63.3, 61.1, 222.1, 242.9, 268.4, 220.0, 206.8, 221.8, 2019-03-24 03:28:06
63.3, 61.2, 224.8, 237.9, 253.4, 218.8, 219.8, 223.8, 2019-03-24 03:38:07
63.3, 61.2, 222.8, 235.6, 254.8, 224.1, 216.7, 211.0, 2019-03-24 03:48:09
63.2, 61.3, 281.9, 240.3, 213.5, 227.3, 243.5, 216.2, 2019-03-24 03:58:10
63.2, 61.2, 232.0, 240.5, 247.4, 231.0, 223.4, 204.7, 2019-03-24 04:08:23
63.2, 61.1, 243.2, 219.5, 238.9, 236.6, 223.5, 207.0, 2019-03-24 04:18:24
63.2, 61.2, 236.9, 227.1, 241.2, 246.5, 217.0, 197.3, 2019-03-24 04:28:25
63.2, 61.0, 249.3, 216.9, 241.7, 262.4, 214.2, 189.1, 2019-03-24 04:38:27
63.2, 61.2, 245.2, 236.2, 235.5, 232.9, 222.5, 202.2, 2019-03-24 04:48:28
63.2, 61.2, 267.6, 234.3, 215.0, 239.9, 253.8, 195.3, 2019-03-24 04:58:29
63.1, 61.1, 237.3, 239.1, 252.1, 225.8, 206.3, 231.1, 2019-03-24 05:08:42
63.2, 61.1, 242.6, 228.6, 242.9, 239.7, 209.9, 211.0, 2019-03-24 05:18:43
63.1, 60.9, 217.8, 239.0, 261.1, 234.2, 212.6, 198.7, 2019-03-24 05:28:45
63.1, 61.0, 252.6, 229.1, 233.0, 236.9, 218.5, 215.8, 2019-03-24 05:38:46
63.1, 61.0, 240.9, 236.3, 236.2, 237.3, 225.7, 197.4, 2019-03-24 05:48:47
63.1, 61.1, 251.6, 224.1, 237.0, 253.3, 214.3, 196.3, 2019-03-24 05:58:49
63.1, 61.0, 248.4, 258.3, 226.8, 218.3, 240.6, 228.3, 2019-03-24 06:09:01
63.1, 61.0, 227.5, 226.2, 257.6, 245.5, 202.6, 196.9, 2019-03-24 06:19:03
63.0, 60.8, 236.7, 240.5, 234.0, 215.6, 240.4, 215.8, 2019-03-24 06:29:04
63.0, 61.0, 241.1, 232.0, 238.4, 243.7, 216.3, 196.1, 2019-03-24 06:39:05
63.1, 61.0, 243.2, 261.6, 226.6, 219.5, 235.0, 216.8, 2019-03-24 06:49:07
63.1, 60.9, 223.5, 227.7, 277.8, 236.9, 198.2, 207.8, 2019-03-24 06:59:08
63.2, 61.1, 264.9, 224.0, 233.9, 266.3, 209.6, 190.0, 2019-03-24 07:09:21
63.1, 60.8, 251.9, 253.6, 221.9, 220.5, 247.8, 214.7, 2019-03-24 07:19:22
63.0, 60.8, 237.3, 271.3, 229.2, 213.9, 237.0, 219.8, 2019-03-24 07:29:24
63.1, 61.0, 259.7, 258.3, 212.2, 245.0, 258.7, 181.1, 2019-03-24 07:39:25
63.6, 61.2, 256.0, 219.6, 232.2, 261.8, 220.5, 191.1, 2019-03-24 07:49:26
64.1, 61.7, 223.2, 240.6, 254.0, 227.7, 217.3, 204.3, 2019-03-24 07:59:28
64.5, 61.9, 249.4, 250.0, 226.2, 224.3, 248.3, 208.2, 2019-03-24 08:09:40
64.6, 62.2, 246.0, 225.7, 238.4, 243.2, 216.1, 209.3, 2019-03-24 08:19:42
64.9, 62.6, 239.1, 228.1, 247.3, 244.2, 208.5, 199.1, 2019-03-24 08:29:43
65.3, 63.0, 246.9, 262.5, 217.8, 230.7, 246.7, 193.1, 2019-03-24 08:39:44
