s1, s2, s3, s4, s5, s6, s7, s8, Time
61, 67, 379, 347, 343, 371, 377, 308, 2019-01-22 00:11:27
60, 65, 373, 369, 352, 353, 364, 328, 2019-01-22 00:21:29
60, 64, 369, 359, 367, 356, 347, 334, 2019-01-22 00:31:30
59, 64, 387, 380, 353, 347, 358, 344, 2019-01-22 00:41:31
61, 67, 363, 367, 375, 353, 353, 323, 2019-01-22 00:51:32
60, 65, 386, 365, 349, 354, 363, 329, 2019-01-22 01:01:45
59, 64, 396, 363, 341, 364, 381, 313, 2019-01-22 01:11:46
60, 64, 399, 329, 347, 463, 369, 281, 2019-01-22 01:21:48
61, 66, 398, 350, 343, 375, 377, 306, 2019-01-22 01:31:49
60, 64, 376, 361, 357, 366, 354, 313, 2019-01-22 01:41:50
59, 62, 345, 338, 417, 414, 326, 296, 2019-01-22 01:51:51
61, 64, 418, 342, 333, 382, 414, 313, 2019-01-22 02:02:03
60, 63, 383, 378, 345, 364, 357, 312, 2019-01-22 02:12:04
59, 62, 338, 357, 453, 377, 311, 308, 2019-01-22 02:22:06
60, 63, 374, 344, 365, 389, 351, 312, 2019-01-22 02:32:07
61, 63, 380, 351, 356, 384, 358, 300, 2019-01-22 02:42:08
59, 61, 364, 389, 378, 347, 340, 326, 2019-01-22 02:52:09
59, 61, 380, 373, 354, 360, 370, 321, 2019-01-22 03:02:21
61, 62, 374, 342, 372, 381, 345, 316, 2019-01-22 03:12:22
59, 60, 374, 356, 374, 381, 336, 308, 2019-01-22 03:22:24
59, 60, 370, 351, 366, 396, 359, 301, 2019-01-22 03:32:25
61, 61, 366, 351, 359, 384, 377, 312, 2019-01-22 03:42:26
59, 59, 370, 373, 368, 363, 356, 308, 2019-01-22 03:52:27
