s1, s2, s3, s4, s5, s6, s7, s8, Time
63.5, 62.6, 311.0, 286.5, 297.5, 319.8, 285.1, 247.4, 2019-12-18 19:48:34
63.4, 62.6, 303.4, 295.2, 295.8, 298.5, 287.7, 262.3, 2019-12-18 19:51:33
68.1, 62.7, 290.8, 292.8, 306.6, 296.5, 272.4, 257.8, 2019-12-18 19:58:36
63.6, 63.0, 304.2, 316.1, 290.6, 275.4, 296.5, 289.4, 2019-12-18 20:08:37
63.7, 63.1, 298.7, 318.4, 297.3, 277.1, 285.9, 283.5, 2019-12-18 20:18:38
63.8, 63.3, 321.9, 295.8, 285.9, 304.2, 291.7, 255.1, 2019-12-18 20:28:40
114.1, 65.7, 87.1, 78.8, 270.6, 262.0, 242.1, 228.9, 2019-12-18 21:23:42
112.9, 65.6, 86.7, 78.7, 256.6, 261.0, 251.2, 226.4, 2019-12-18 21:24:03
111.7, 65.6, 86.6, 78.6, 267.4, 258.7, 248.9, 230.0, 2019-12-18 21:24:23
110.5, 65.5, 86.7, 78.8, 271.7, 260.9, 244.2, 226.7, 2019-12-18 21:24:44
109.5, 65.5, 86.6, 78.7, 265.5, 254.4, 250.3, 240.3, 2019-12-18 21:25:05
108.7, 65.6, 86.3, 78.6, 268.9, 253.5, 245.4, 233.9, 2019-12-18 21:25:26
107.6, 65.6, 86.1, 78.4, 266.4, 261.7, 245.4, 222.7, 2019-12-18 21:25:47
106.7, 65.6, 85.8, 78.5, 262.9, 263.5, 250.8, 224.8, 2019-12-18 21:26:08
105.7, 65.4, 85.6, 78.4, 262.7, 265.7, 250.6, 224.8, 2019-12-18 21:26:29
105.1, 65.5, 85.7, 78.4, 265.1, 252.9, 246.8, 233.8, 2019-12-18 21:26:49
104.4, 65.7, 85.8, 78.1, 269.6, 264.2, 247.8, 230.1, 2019-12-18 21:27:10
103.6, 65.6, 85.7, 78.0, 276.4, 252.7, 242.0, 229.9, 2019-12-18 21:27:31
102.8, 65.2, 85.4, 78.0, 265.3, 258.5, 248.6, 230.7, 2019-12-18 21:27:52
102.2, 65.3, 85.4, 78.1, 267.7, 256.1, 246.5, 225.0, 2019-12-18 21:28:13
101.4, 65.3, 85.3, 78.0, 263.1, 258.3, 250.2, 228.9, 2019-12-18 21:28:34
100.7, 65.3, 85.1, 77.8, 261.3, 266.8, 251.8, 222.2, 2019-12-18 21:28:55
100.2, 65.2, 84.8, 77.8, 268.6, 268.3, 241.8, 222.5, 2019-12-18 21:29:15
99.5, 65.1, 84.7, 78.0, 260.4, 265.8, 253.4, 219.8, 2019-12-18 21:29:36
99.1, 65.3, 84.8, 77.9, 264.3, 253.2, 247.8, 235.2, 2019-12-18 21:29:57
98.6, 65.5, 84.8, 77.9, 268.3, 257.8, 247.0, 229.3, 2019-12-18 21:30:18
98.1, 65.5, 84.8, 77.8, 268.4, 256.6, 247.8, 233.0, 2019-12-18 21:30:39
97.6, 65.3, 84.7, 77.9, 272.1, 265.8, 241.4, 226.3, 2019-12-18 21:31:00
97.0, 65.2, 84.3, 77.6, 269.0, 261.8, 243.7, 227.5, 2019-12-18 21:31:21
96.6, 65.1, 84.5, 77.6, 260.4, 259.3, 255.7, 227.0, 2019-12-18 21:31:41
96.1, 65.3, 84.5, 77.5, 257.2, 259.9, 256.6, 227.7, 2019-12-18 21:32:02
95.6, 65.2, 84.2, 77.5, 262.4, 258.1, 250.8, 230.2, 2019-12-18 21:32:23
95.1, 65.2, 84.1, 77.5, 260.3, 260.0, 255.1, 225.9, 2019-12-18 21:32:44
94.7, 65.0, 84.1, 77.2, 262.9, 261.3, 258.9, 226.5, 2019-12-18 21:33:05
94.4, 65.0, 84.0, 77.5, 271.1, 266.5, 248.6, 223.0, 2019-12-18 21:33:26
93.9, 65.2, 83.8, 77.1, 267.6, 262.1, 247.9, 226.8, 2019-12-18 21:33:47
93.6, 65.0, 83.8, 77.3, 265.4, 259.1, 249.3, 232.0, 2019-12-18 21:34:07
93.1, 65.2, 83.6, 77.2, 269.5, 257.8, 247.0, 227.8, 2019-12-18 21:34:28
92.8, 65.1, 83.6, 77.0, 268.5, 254.8, 248.8, 232.0, 2019-12-18 21:34:49
92.4, 65.0, 83.5, 76.8, 271.2, 258.6, 246.1, 231.7, 2019-12-18 21:35:10
92.1, 65.2, 83.7, 77.0, 257.1, 260.6, 261.0, 223.9, 2019-12-18 21:35:31
91.7, 65.1, 83.5, 76.9, 269.4, 258.0, 250.7, 230.1, 2019-12-18 21:35:52
91.4, 65.0, 83.4, 76.9, 265.5, 254.1, 251.0, 229.7, 2019-12-18 21:36:13
91.0, 65.1, 83.6, 76.9, 278.3, 263.6, 240.5, 229.3, 2019-12-18 21:36:33
90.7, 65.1, 83.3, 76.7, 272.4, 259.7, 243.8, 230.3, 2019-12-18 21:36:54
90.3, 64.8, 83.5, 76.7, 276.8, 264.0, 239.8, 229.9, 2019-12-18 21:37:15
90.1, 65.0, 83.4, 76.6, 270.2, 256.1, 248.3, 230.1, 2019-12-18 21:37:36
89.7, 65.1, 83.2, 76.7, 272.8, 264.9, 246.0, 224.7, 2019-12-18 21:37:57
89.4, 65.0, 83.3, 76.6, 265.3, 262.8, 252.4, 223.1, 2019-12-18 21:38:18
89.1, 65.2, 83.1, 76.4, 267.7, 266.8, 251.7, 221.2, 2019-12-18 21:38:38
88.9, 65.1, 82.9, 76.3, 263.8, 263.2, 252.1, 225.3, 2019-12-18 21:38:59
88.7, 65.1, 82.7, 76.4, 271.9, 258.9, 245.5, 232.1, 2019-12-18 21:39:20
88.5, 65.2, 82.8, 76.4, 273.2, 252.5, 250.2, 237.3, 2019-12-18 21:39:41
88.2, 65.2, 82.4, 76.3, 276.6, 260.2, 242.3, 227.9, 2019-12-18 21:40:02
88.0, 65.1, 82.6, 76.0, 275.4, 254.9, 241.7, 232.7, 2019-12-18 21:40:23
87.9, 65.0, 82.2, 76.0, 270.0, 258.3, 250.2, 228.3, 2019-12-18 21:40:44
87.6, 65.0, 82.4, 76.1, 277.0, 267.4, 240.4, 225.7, 2019-12-18 21:41:04
87.3, 65.1, 82.3, 75.9, 267.9, 255.0, 247.8, 234.7, 2019-12-18 21:41:25
87.0, 64.8, 82.1, 75.9, 271.2, 261.8, 246.7, 228.9, 2019-12-18 21:41:46
86.9, 64.9, 81.9, 75.8, 266.6, 269.8, 247.9, 229.9, 2019-12-18 21:42:07
86.5, 64.8, 82.2, 75.9, 269.3, 269.8, 239.0, 227.7, 2019-12-18 21:42:28
86.3, 64.9, 81.9, 75.7, 266.3, 265.7, 251.3, 225.0, 2019-12-18 21:42:49
86.2, 64.6, 82.1, 75.9, 277.7, 258.1, 241.3, 227.3, 2019-12-18 21:43:10
86.0, 64.9, 82.0, 76.0, 260.3, 273.8, 247.6, 227.7, 2019-12-18 21:43:31
85.8, 64.9, 82.0, 75.7, 275.0, 258.3, 242.8, 230.1, 2019-12-18 21:43:52
85.6, 64.8, 81.9, 75.7, 265.9, 256.2, 247.8, 234.4, 2019-12-18 21:44:12
85.3, 65.0, 81.7, 75.7, 261.1, 257.3, 261.5, 231.7, 2019-12-18 21:44:33
85.1, 64.9, 81.5, 75.3, 268.6, 266.0, 251.9, 223.9, 2019-12-18 21:44:54
84.9, 64.8, 81.7, 75.6, 262.5, 267.5, 252.5, 226.7, 2019-12-18 21:45:15
84.8, 64.8, 81.4, 75.5, 262.9, 262.1, 254.3, 226.1, 2019-12-18 21:45:36
84.5, 65.0, 81.3, 75.3, 271.6, 258.3, 246.2, 233.7, 2019-12-18 21:45:57
84.3, 64.6, 81.2, 74.9, 278.1, 254.0, 239.2, 235.2, 2019-12-18 21:46:18
84.3, 64.6, 81.3, 75.1, 267.5, 270.6, 247.9, 222.4, 2019-12-18 21:46:38
84.0, 64.7, 81.0, 75.0, 272.4, 256.7, 252.3, 236.4, 2019-12-18 21:46:59
83.9, 64.9, 81.2, 75.0, 265.5, 257.4, 256.1, 228.9, 2019-12-18 21:47:20
83.8, 64.7, 81.0, 75.2, 259.9, 258.3, 265.5, 226.0, 2019-12-18 21:47:41
83.6, 64.6, 81.2, 75.0, 266.8, 254.0, 241.9, 230.8, 2019-12-18 21:48:02
83.4, 64.6, 81.0, 75.0, 261.6, 270.0, 239.6, 214.1, 2019-12-18 21:48:23
83.2, 64.6, 80.9, 74.7, 273.1, 265.8, 251.1, 224.3, 2019-12-18 21:48:44
82.9, 64.6, 80.7, 74.6, 280.8, 254.9, 234.4, 233.9, 2019-12-18 21:49:05
82.8, 64.4, 80.7, 74.3, 262.5, 266.8, 250.7, 224.3, 2019-12-18 21:49:26
82.6, 64.4, 80.5, 74.4, 263.5, 259.8, 254.4, 231.7, 2019-12-18 21:49:47
82.4, 64.4, 80.5, 74.4, 293.7, 267.9, 244.2, 226.9, 2019-12-18 21:50:08
82.1, 64.9, 80.2, 74.1, 265.2, 262.7, 253.8, 221.6, 2019-12-18 21:50:44
82.1, 64.7, 80.2, 74.2, 274.9, 264.1, 256.7, 233.8, 2019-12-18 21:51:05
81.8, 64.7, 80.3, 74.0, 267.1, 253.2, 256.9, 234.8, 2019-12-18 21:51:38
81.6, 64.5, 80.1, 74.2, 273.3, 253.1, 240.4, 232.6, 2019-12-18 21:51:59
81.3, 64.6, 79.8, 74.3, 267.3, 262.3, 248.6, 228.9, 2019-12-18 21:52:33
81.2, 64.7, 79.7, 74.2, 259.0, 252.7, 266.3, 245.8, 2019-12-18 21:52:54
80.9, 64.5, 79.8, 74.2, 267.9, 254.5, 263.2, 233.5, 2019-12-18 21:53:27
80.7, 64.4, 79.5, 74.2, 271.3, 261.5, 245.8, 230.4, 2019-12-18 21:53:48
80.7, 64.5, 79.7, 73.7, 274.0, 263.2, 248.0, 230.0, 2019-12-18 21:54:22
80.5, 64.5, 79.6, 73.6, 275.8, 258.9, 250.0, 238.3, 2019-12-18 21:54:42
80.3, 64.6, 79.6, 73.4, 266.9, 278.1, 246.0, 217.9, 2019-12-18 21:55:16
80.1, 64.5, 79.4, 73.6, 272.4, 261.6, 242.3, 227.9, 2019-12-18 21:55:37
