s1, s2, s3, s4, s5, s6, s7, s8, Time
65.1, 63.0, 253.9, 220.3, 210.2, 224.1, 229.0, 192.2, 2019-04-03 00:16:04
65.0, 62.9, 230.6, 228.9, 222.7, 213.5, 218.0, 207.9, 2019-04-03 00:26:05
64.9, 62.9, 214.6, 227.6, 242.8, 222.5, 202.9, 195.4, 2019-04-03 00:36:06
64.9, 62.8, 214.7, 219.1, 250.5, 222.2, 196.7, 197.6, 2019-04-03 00:46:07
64.8, 62.8, 215.5, 222.8, 248.3, 238.3, 197.9, 176.1, 2019-04-03 00:56:09
64.7, 62.8, 249.5, 219.2, 212.9, 231.5, 224.5, 186.3, 2019-04-03 01:06:58
64.6, 62.6, 228.1, 238.6, 224.7, 215.1, 218.6, 203.2, 2019-04-03 01:17:00
64.5, 62.6, 231.0, 223.6, 222.3, 224.3, 225.7, 191.1, 2019-04-03 01:27:01
64.4, 62.5, 246.4, 204.7, 209.3, 251.9, 240.0, 182.1, 2019-04-03 01:37:02
64.4, 62.6, 235.3, 221.7, 227.3, 230.3, 204.7, 188.5, 2019-04-03 01:47:03
64.3, 62.5, 221.3, 243.4, 240.2, 210.9, 203.9, 201.1, 2019-04-03 01:57:04
64.3, 62.4, 223.4, 230.6, 231.6, 223.0, 207.5, 193.3, 2019-04-03 02:07:53
64.2, 62.4, 223.0, 211.9, 238.4, 238.4, 203.7, 182.3, 2019-04-03 02:17:54
64.1, 62.3, 217.6, 220.3, 239.2, 235.8, 205.6, 185.6, 2019-04-03 02:27:55
64.1, 62.2, 222.8, 232.7, 240.9, 219.0, 196.5, 196.3, 2019-04-03 02:37:56
64.0, 62.2, 229.0, 203.0, 229.1, 263.3, 213.3, 175.0, 2019-04-03 02:47:58
64.0, 62.1, 239.4, 226.1, 219.4, 216.5, 208.2, 207.0, 2019-04-03 02:57:59
