s1, s2, s3, s4, s5, s6, s7, s8, Time
62, 57, 340, 329, 360, 353, 315, 287, 2019-01-20 00:14:09
62, 57, 346, 325, 335, 351, 338, 283, 2019-01-20 00:24:10
62, 56, 345, 322, 343, 372, 327, 268, 2019-01-20 00:34:12
61, 56, 347, 337, 345, 334, 321, 308, 2019-01-20 00:44:13
61, 56, 362, 349, 343, 331, 317, 303, 2019-01-20 00:54:14
63, 57, 349, 413, 331, 306, 346, 321, 2019-01-20 01:04:27
62, 57, 368, 370, 319, 324, 354, 300, 2019-01-20 01:14:29
62, 56, 353, 373, 338, 310, 321, 339, 2019-01-20 01:24:30
61, 56, 381, 342, 316, 340, 350, 303, 2019-01-20 01:34:31
62, 55, 325, 321, 419, 363, 288, 289, 2019-01-20 01:44:32
63, 57, 347, 339, 338, 338, 335, 295, 2019-01-20 01:54:33
