s1, s2, s3, s4, s5, s6, s7, s8, Time
60, 56, 410, 366, 344, 367, 411, 334, 2019-01-23 00:19:58
60, 56, 377, 368, 383, 363, 342, 344, 2019-01-23 00:29:59
59, 55, 349, 394, 425, 357, 340, 331, 2019-01-23 00:40:00
61, 56, 407, 364, 349, 378, 398, 328, 2019-01-23 00:50:01
60, 55, 376, 369, 389, 374, 338, 330, 2019-01-23 01:00:16
60, 55, 361, 371, 427, 382, 329, 311, 2019-01-23 01:10:18
61, 56, 390, 379, 367, 372, 364, 316, 2019-01-23 01:20:19
60, 55, 386, 408, 373, 349, 351, 339, 2019-01-23 01:30:20
60, 55, 380, 391, 380, 367, 355, 322, 2019-01-23 01:40:21
61, 55, 373, 376, 377, 371, 355, 327, 2019-01-23 01:50:22
60, 55, 394, 375, 356, 362, 374, 351, 2019-01-23 02:00:35
61, 55, 362, 416, 383, 348, 365, 339, 2019-01-23 02:10:36
61, 55, 359, 370, 400, 392, 344, 305, 2019-01-23 02:20:37
60, 55, 389, 358, 371, 408, 363, 301, 2019-01-23 02:30:38
61, 55, 388, 353, 372, 407, 368, 308, 2019-01-23 02:40:39
60, 55, 386, 359, 368, 389, 365, 316, 2019-01-23 02:50:41
59, 55, 364, 372, 405, 364, 338, 345, 2019-01-23 03:00:53
61, 56, 386, 371, 389, 372, 339, 326, 2019-01-23 03:10:54
61, 55, 375, 346, 393, 421, 342, 304, 2019-01-23 03:20:55
60, 55, 392, 366, 374, 389, 358, 311, 2019-01-23 03:30:57
61, 55, 376, 359, 374, 396, 366, 313, 2019-01-23 03:40:58
61, 56, 374, 377, 373, 373, 365, 319, 2019-01-23 03:50:59
60, 55, 362, 394, 421, 364, 332, 330, 2019-01-23 04:01:14
62, 56, 370, 383, 396, 366, 342, 322, 2019-01-23 04:11:15
61, 56, 365, 365, 396, 378, 353, 320, 2019-01-23 04:21:16
61, 55, 405, 385, 340, 372, 420, 338, 2019-01-23 04:31:18
62, 56, 371, 372, 388, 366, 342, 330, 2019-01-23 04:41:19
61, 55, 361, 376, 423, 363, 326, 329, 2019-01-23 04:51:20
