s1, s2, s3, s4, s5, s6, s7, s8, Time
63.8, 61.8, 235.8, 232.4, 231.1, 224.0, 206.1, 199.3, 2019-03-27 00:13:06
63.6, 61.7, 244.4, 229.4, 219.4, 218.2, 220.6, 211.4, 2019-03-27 00:23:08
63.5, 61.6, 223.5, 239.3, 251.5, 213.4, 199.1, 208.9, 2019-03-27 00:33:09
63.4, 61.6, 224.2, 215.1, 242.1, 241.7, 212.0, 189.9, 2019-03-27 00:43:10
63.4, 61.3, 221.9, 228.1, 243.1, 229.5, 211.0, 190.7, 2019-03-27 00:53:11
63.2, 61.3, 258.9, 223.3, 214.4, 238.1, 232.0, 185.8, 2019-03-27 01:04:01
63.3, 61.4, 230.8, 240.9, 233.2, 219.7, 209.3, 203.8, 2019-03-27 01:14:02
63.5, 61.7, 221.9, 229.7, 241.7, 237.5, 215.4, 187.5, 2019-03-27 01:24:03
63.5, 61.5, 222.5, 207.1, 250.7, 276.0, 203.7, 172.1, 2019-03-27 01:34:04
63.5, 61.6, 224.0, 255.7, 243.1, 212.5, 213.4, 208.8, 2019-03-27 01:44:05
63.7, 61.8, 240.8, 237.3, 228.7, 225.3, 210.1, 200.0, 2019-03-27 01:54:07
63.6, 61.6, 235.4, 226.7, 236.3, 224.0, 209.0, 209.3, 2019-03-27 02:04:55
63.7, 61.8, 235.5, 250.2, 225.5, 207.3, 227.7, 228.7, 2019-03-27 02:14:56
63.8, 61.8, 258.8, 236.1, 213.7, 216.9, 236.7, 218.7, 2019-03-27 02:24:57
63.7, 61.7, 248.1, 225.8, 219.2, 229.4, 230.5, 200.3, 2019-03-27 02:34:59
63.7, 61.8, 226.6, 231.2, 245.4, 223.8, 202.4, 208.5, 2019-03-27 02:45:00
63.8, 61.8, 254.2, 241.8, 221.4, 221.8, 218.7, 199.0, 2019-03-27 02:55:01
63.6, 61.5, 224.5, 227.5, 236.4, 239.3, 224.7, 186.9, 2019-03-27 03:05:49
63.6, 61.7, 214.8, 235.7, 264.8, 227.6, 200.9, 190.5, 2019-03-27 03:15:50
63.6, 61.6, 236.0, 222.9, 226.8, 251.2, 228.6, 180.4, 2019-03-27 03:25:52
63.6, 61.8, 238.6, 238.8, 224.0, 222.8, 231.1, 200.6, 2019-03-27 03:35:53
63.8, 61.8, 236.1, 266.1, 216.7, 207.8, 255.3, 221.7, 2019-03-27 03:45:54
63.8, 61.7, 220.0, 234.2, 270.0, 230.2, 191.7, 192.0, 2019-03-27 03:55:55
63.8, 61.6, 248.8, 212.3, 218.2, 245.3, 247.1, 189.2, 2019-03-27 04:06:44
63.8, 61.8, 240.2, 244.2, 218.3, 212.3, 237.8, 220.8, 2019-03-27 04:16:45
63.7, 61.7, 224.0, 213.5, 241.1, 255.9, 215.2, 185.5, 2019-03-27 04:26:46
63.8, 61.8, 233.4, 246.3, 238.1, 222.4, 206.4, 200.3, 2019-03-27 04:36:47
63.8, 61.8, 228.8, 221.5, 238.0, 238.2, 214.0, 193.7, 2019-03-27 04:46:48
63.7, 61.7, 251.7, 211.5, 219.0, 252.4, 232.7, 185.3, 2019-03-27 04:56:50
63.9, 61.8, 246.0, 237.6, 221.4, 216.8, 226.3, 213.3, 2019-03-27 05:07:38
63.9, 61.8, 242.8, 219.0, 227.8, 241.7, 214.4, 192.1, 2019-03-27 05:17:39
63.8, 61.6, 218.5, 236.9, 249.8, 225.4, 209.2, 198.2, 2019-03-27 05:27:40
63.8, 61.6, 231.3, 228.9, 226.8, 230.7, 232.2, 197.6, 2019-03-27 05:37:41
63.8, 61.7, 214.4, 208.8, 256.9, 271.2, 210.2, 176.6, 2019-03-27 05:47:43
63.7, 61.6, 214.8, 244.6, 271.1, 221.3, 191.2, 198.9, 2019-03-27 05:57:44
63.8, 61.9, 264.3, 249.0, 210.5, 205.8, 245.5, 236.1, 2019-03-27 06:08:32
63.8, 61.8, 233.5, 231.5, 231.0, 223.3, 221.8, 206.7, 2019-03-27 06:18:33
63.8, 61.6, 224.8, 205.4, 239.0, 258.1, 227.4, 188.5, 2019-03-27 06:28:34
63.8, 61.9, 237.2, 220.8, 240.3, 235.8, 210.4, 192.0, 2019-03-27 06:38:36
63.9, 61.6, 234.7, 213.1, 227.3, 252.8, 228.2, 187.1, 2019-03-27 06:48:37
64.2, 62.5, 258.9, 272.9, 214.4, 203.9, 234.3, 227.1, 2019-03-27 06:58:38
65.0, 63.0, 225.2, 234.1, 253.5, 232.5, 206.1, 189.7, 2019-03-27 07:09:26
65.3, 63.2, 244.4, 228.8, 222.0, 229.3, 230.9, 194.3, 2019-03-27 07:19:28
65.5, 63.4, 229.8, 216.5, 228.8, 249.6, 234.3, 184.3, 2019-03-27 07:29:29
65.7, 63.4, 255.6, 240.9, 216.3, 224.1, 226.0, 193.7, 2019-03-27 07:39:30
65.9, 63.8, 239.6, 233.0, 230.4, 227.5, 212.3, 192.6, 2019-03-27 07:49:31
66.0, 63.9, 227.2, 220.3, 238.0, 231.8, 207.8, 196.9, 2019-03-27 07:59:32
66.2, 63.9, 246.7, 235.9, 216.3, 224.5, 227.9, 196.0, 2019-03-27 08:10:20
66.3, 64.1, 238.6, 223.3, 226.9, 228.5, 215.5, 198.3, 2019-03-27 08:20:22
66.3, 63.9, 240.8, 224.3, 216.9, 228.1, 233.2, 196.7, 2019-03-27 08:30:23
66.4, 64.0, 220.8, 215.7, 244.4, 236.0, 204.1, 197.9, 2019-03-27 08:40:24
66.4, 64.0, 238.1, 237.5, 226.6, 214.9, 215.2, 201.9, 2019-03-27 08:50:25
66.4, 64.0, 243.1, 232.9, 216.6, 212.6, 223.0, 223.4, 2019-03-27 09:01:14
66.4, 64.1, 223.2, 228.9, 248.1, 221.9, 198.4, 194.0, 2019-03-27 09:11:15
66.5, 64.0, 256.1, 231.5, 203.9, 220.6, 252.8, 205.0, 2019-03-27 09:21:16
66.4, 64.0, 217.9, 227.1, 242.9, 228.7, 207.0, 189.2, 2019-03-27 09:31:17
66.5, 64.4, 231.1, 216.0, 227.5, 240.2, 222.9, 185.2, 2019-03-27 09:41:18
66.4, 64.0, 252.8, 219.5, 214.7, 228.8, 222.4, 194.9, 2019-03-27 09:51:20
