s1, s2, s3, s4, s5, s6, s7, s8, Time
61, 62, 376, 406, 336, 348, 391, 307, 2019-01-30 00:20:30
63, 64, 364, 375, 362, 341, 365, 336, 2019-01-30 00:30:32
63, 63, 333, 370, 418, 342, 313, 325, 2019-01-30 00:40:33
62, 63, 367, 373, 371, 348, 333, 323, 2019-01-30 00:50:34
62, 63, 360, 367, 371, 337, 348, 346, 2019-01-30 01:00:49
62, 63, 355, 365, 376, 342, 340, 335, 2019-01-30 01:10:50
62, 63, 353, 399, 364, 327, 355, 356, 2019-01-30 01:20:51
62, 63, 371, 378, 345, 350, 390, 318, 2019-01-30 01:30:52
61, 63, 361, 355, 377, 359, 339, 322, 2019-01-30 01:40:54
62, 63, 365, 367, 353, 364, 381, 311, 2019-01-30 01:50:55
