s1, s2, s3, s4, s5, s6, s7, s8, Time
64.4, 62.4, 244.1, 232.4, 247.8, 239.8, 222.6, 207.0, 2019-03-15 00:18:25
64.3, 62.5, 254.3, 215.2, 226.4, 274.3, 258.0, 190.7, 2019-03-15 00:28:27
64.3, 62.3, 239.3, 239.6, 240.5, 234.4, 234.6, 212.3, 2019-03-15 00:38:28
64.2, 62.3, 245.1, 269.9, 251.3, 222.5, 210.7, 220.1, 2019-03-15 00:48:29
64.1, 62.2, 227.3, 265.9, 264.9, 221.1, 216.7, 220.5, 2019-03-15 00:58:30
64.1, 62.2, 234.6, 242.9, 264.1, 231.4, 207.2, 216.5, 2019-03-15 01:08:44
64.0, 62.1, 242.6, 259.6, 253.3, 221.6, 214.6, 222.2, 2019-03-15 01:18:45
64.0, 62.1, 249.2, 240.1, 240.2, 236.7, 222.5, 216.7, 2019-03-15 01:28:46
63.9, 62.0, 252.6, 242.1, 236.9, 237.1, 236.4, 207.2, 2019-03-15 01:38:47
63.9, 62.0, 260.2, 236.6, 238.8, 240.4, 228.6, 203.2, 2019-03-15 01:48:48
63.8, 61.9, 251.2, 238.4, 238.1, 247.9, 226.6, 198.8, 2019-03-15 01:58:50
