s1, s2, s3, s4, s5, s6, s7, s8, Time
62, 68, 340, 320, 343, 344, 317, 279, 2019-01-18 00:16:55
62, 66, 374, 340, 313, 314, 343, 311, 2019-01-18 00:26:57
61, 64, 325, 349, 362, 324, 297, 301, 2019-01-18 00:36:58
61, 63, 347, 321, 337, 340, 325, 287, 2019-01-18 00:46:59
61, 64, 364, 359, 322, 322, 335, 300, 2019-01-18 00:57:00
63, 66, 344, 325, 333, 345, 319, 281, 2019-01-18 01:07:14
62, 64, 347, 337, 327, 315, 329, 323, 2019-01-18 01:17:15
61, 62, 348, 333, 325, 331, 335, 298, 2019-01-18 01:27:17
61, 63, 338, 337, 352, 336, 307, 286, 2019-01-18 01:37:18
63, 65, 362, 331, 333, 334, 309, 290, 2019-01-18 01:47:19
62, 63, 326, 368, 349, 315, 312, 296, 2019-01-18 01:57:20
61, 62, 335, 343, 346, 321, 327, 317, 2019-01-18 02:07:33
61, 63, 326, 356, 362, 322, 311, 302, 2019-01-18 02:17:34
63, 64, 394, 330, 307, 342, 368, 284, 2019-01-18 02:27:35
61, 61, 338, 340, 342, 322, 319, 300, 2019-01-18 02:37:36
61, 60, 322, 316, 383, 362, 299, 283, 2019-01-18 02:47:37
63, 63, 345, 343, 341, 336, 322, 285, 2019-01-18 02:57:38
