s1, s2, s3, s4, s5, s6, s7, s8, Time
64.3, 62.5, 245.4, 235.5, 212.2, 214.5, 226.2, 199.7, 2019-03-12 00:17:26
64.3, 62.5, 239.4, 216.7, 225.3, 237.5, 209.8, 179.5, 2019-03-12 00:27:27
64.1, 62.4, 235.3, 223.3, 216.8, 232.0, 225.0, 183.9, 2019-03-12 00:37:28
64.0, 62.2, 231.6, 220.6, 232.2, 227.5, 201.7, 188.7, 2019-03-12 00:47:30
63.9, 62.1, 227.5, 215.8, 225.3, 230.2, 209.0, 197.3, 2019-03-12 00:57:31
63.8, 61.8, 233.3, 222.1, 225.8, 221.5, 208.6, 207.4, 2019-03-12 01:08:20
63.7, 61.7, 218.5, 226.0, 234.4, 220.2, 209.6, 201.0, 2019-03-12 01:18:21
63.7, 61.8, 215.0, 227.4, 240.4, 231.0, 204.3, 189.2, 2019-03-12 01:28:23
63.5, 61.6, 220.8, 228.4, 234.6, 218.4, 209.8, 202.5, 2019-03-12 01:38:24
63.4, 61.5, 208.8, 231.8, 254.7, 213.4, 199.3, 209.0, 2019-03-12 01:48:25
63.3, 61.5, 215.5, 260.3, 244.8, 205.1, 199.1, 211.8, 2019-03-12 01:58:27
63.2, 61.2, 228.8, 233.9, 225.5, 221.6, 210.4, 202.3, 2019-03-12 02:09:15
63.1, 60.9, 263.5, 224.3, 201.5, 224.5, 255.1, 202.1, 2019-03-12 02:19:16
63.4, 61.4, 239.9, 245.0, 213.5, 210.9, 235.5, 205.1, 2019-03-12 02:29:17
63.5, 61.6, 227.2, 220.9, 229.1, 229.7, 216.3, 191.7, 2019-03-12 02:39:19
63.5, 61.6, 209.2, 251.8, 253.3, 208.3, 200.0, 210.3, 2019-03-12 02:49:20
63.4, 61.5, 234.4, 222.6, 226.9, 226.0, 214.3, 197.5, 2019-03-12 02:59:21
63.4, 61.5, 224.6, 255.0, 222.2, 208.9, 224.5, 209.1, 2019-03-12 03:10:09
63.5, 61.8, 223.2, 224.1, 234.2, 235.3, 209.1, 185.0, 2019-03-12 03:20:10
63.4, 61.8, 235.3, 244.2, 219.5, 212.6, 230.4, 202.2, 2019-03-12 03:30:12
63.5, 62.0, 235.4, 231.5, 229.4, 220.8, 205.5, 197.8, 2019-03-12 03:40:13
63.5, 62.0, 230.4, 214.4, 224.7, 231.3, 222.4, 189.8, 2019-03-12 03:50:14
63.5, 61.9, 235.5, 229.0, 216.9, 225.3, 233.1, 193.1, 2019-03-12 04:01:02
63.6, 62.1, 220.0, 237.4, 247.2, 213.4, 196.0, 214.6, 2019-03-12 04:11:04
63.6, 62.1, 240.4, 234.1, 220.5, 225.5, 220.3, 187.4, 2019-03-12 04:21:05
63.6, 61.9, 230.8, 231.7, 227.0, 221.6, 216.6, 197.0, 2019-03-12 04:31:06
63.7, 62.4, 230.2, 231.3, 223.6, 223.4, 220.0, 194.2, 2019-03-12 04:41:08
63.7, 62.1, 238.0, 228.7, 215.2, 225.0, 235.8, 194.2, 2019-03-12 04:51:09
63.6, 62.1, 214.9, 227.1, 239.8, 226.5, 209.8, 196.4, 2019-03-12 05:01:57
63.6, 62.1, 228.1, 205.3, 237.0, 249.2, 207.7, 188.1, 2019-03-12 05:11:58
63.5, 62.0, 213.9, 233.2, 254.3, 227.1, 199.0, 188.6, 2019-03-12 05:22:00
63.6, 62.3, 239.5, 232.5, 216.9, 224.7, 227.5, 197.4, 2019-03-12 05:32:01
63.7, 62.5, 242.7, 211.6, 213.3, 251.0, 240.7, 181.8, 2019-03-12 05:42:02
63.6, 62.3, 219.1, 240.2, 242.2, 218.4, 203.0, 202.5, 2019-03-12 05:52:03
63.7, 62.5, 245.0, 215.8, 225.3, 234.0, 211.3, 196.4, 2019-03-12 06:02:52
63.9, 62.6, 212.9, 220.4, 258.3, 229.4, 198.9, 195.2, 2019-03-12 06:12:53
63.7, 62.5, 237.6, 256.4, 208.1, 206.5, 252.2, 214.6, 2019-03-12 06:22:54
63.7, 62.4, 218.2, 230.5, 245.5, 217.6, 202.5, 209.8, 2019-03-12 06:32:55
63.6, 62.4, 235.8, 235.4, 220.6, 227.3, 224.6, 186.1, 2019-03-12 06:42:57
64.1, 62.8, 221.6, 249.2, 240.0, 203.2, 207.6, 230.9, 2019-03-12 06:52:58
65.0, 63.4, 238.6, 252.9, 216.9, 207.1, 227.2, 215.0, 2019-03-12 07:03:46
65.6, 64.0, 244.6, 232.5, 212.9, 223.8, 229.7, 188.9, 2019-03-12 07:13:47
65.8, 64.4, 238.3, 219.8, 220.2, 228.5, 222.5, 199.7, 2019-03-12 07:23:49
66.0, 64.5, 217.3, 230.6, 240.3, 217.7, 206.2, 203.1, 2019-03-12 07:33:50
66.1, 64.7, 232.4, 226.4, 220.5, 220.0, 225.9, 207.3, 2019-03-12 07:43:51
66.1, 64.8, 232.2, 255.0, 219.1, 203.3, 220.9, 222.7, 2019-03-12 07:53:52
66.2, 64.7, 201.4, 232.6, 275.7, 214.1, 191.5, 205.7, 2019-03-12 08:04:41
66.2, 64.7, 221.4, 242.0, 224.8, 212.5, 225.0, 198.9, 2019-03-12 08:14:42
66.2, 64.9, 232.7, 228.3, 220.8, 226.9, 218.2, 185.5, 2019-03-12 08:24:43
66.1, 65.0, 250.0, 226.2, 208.8, 223.2, 231.5, 188.1, 2019-03-12 08:34:45
66.0, 64.9, 219.0, 256.6, 226.7, 203.4, 210.4, 217.3, 2019-03-12 08:44:46
66.0, 64.8, 234.9, 216.5, 219.9, 226.6, 217.3, 194.5, 2019-03-12 08:54:47
66.1, 65.0, 262.6, 236.7, 226.9, 245.5, 240.3, 199.5, 2019-03-12 09:05:36
66.0, 64.8, 279.3, 248.7, 232.6, 244.6, 247.2, 223.9, 2019-03-12 09:15:37
66.1, 65.0, 238.4, 246.1, 268.9, 243.4, 225.3, 228.6, 2019-03-12 09:25:38
