s1, s2, s3, s4, s5, s6, s7, s8, Time
64.7, 62.8, 246.8, 239.2, 234.1, 231.2, 221.9, 207.0, 2019-03-17 00:20:20
64.6, 62.7, 241.5, 245.8, 226.9, 227.2, 241.5, 207.3, 2019-03-17 00:30:21
64.4, 62.5, 235.7, 215.6, 242.5, 261.8, 218.2, 192.1, 2019-03-17 00:40:22
64.3, 62.6, 270.2, 228.0, 219.2, 247.4, 237.1, 191.5, 2019-03-17 00:50:23
64.3, 62.4, 224.1, 238.8, 263.6, 238.0, 206.7, 195.8, 2019-03-17 01:01:13
64.1, 62.3, 255.3, 220.4, 230.7, 252.7, 222.5, 200.5, 2019-03-17 01:11:14
64.0, 62.2, 220.0, 240.9, 269.6, 237.4, 205.2, 195.5, 2019-03-17 01:21:15
63.9, 62.2, 244.0, 227.2, 235.0, 240.3, 226.5, 206.1, 2019-03-17 01:31:16
63.8, 62.1, 244.8, 225.8, 238.1, 251.7, 223.8, 191.8, 2019-03-17 01:41:18
63.7, 62.0, 231.9, 283.1, 243.0, 205.0, 225.7, 258.8, 2019-03-17 01:51:19
63.7, 62.0, 240.8, 243.9, 238.7, 233.3, 223.0, 205.6, 2019-03-17 02:02:07
63.6, 61.9, 249.8, 240.4, 230.8, 233.9, 230.4, 208.7, 2019-03-17 02:12:08
63.5, 61.9, 251.8, 247.9, 229.0, 234.3, 231.9, 203.5, 2019-03-17 02:22:09
63.5, 61.8, 243.3, 239.0, 236.1, 237.6, 224.3, 208.3, 2019-03-17 02:32:11
63.6, 62.0, 235.0, 222.7, 259.2, 251.9, 205.3, 199.0, 2019-03-17 02:42:12
63.8, 62.2, 228.7, 211.8, 267.5, 290.8, 211.5, 181.4, 2019-03-17 02:52:13
63.8, 62.1, 229.0, 252.4, 254.8, 222.7, 214.6, 224.9, 2019-03-17 03:03:01
63.8, 62.0, 219.0, 243.6, 275.4, 235.9, 207.0, 204.6, 2019-03-17 03:13:03
63.7, 62.0, 244.4, 224.1, 240.0, 269.8, 219.5, 184.5, 2019-03-17 03:23:04
64.0, 62.2, 233.6, 233.3, 260.6, 236.4, 210.4, 211.1, 2019-03-17 03:33:05
64.0, 62.2, 241.8, 267.1, 249.2, 212.9, 210.4, 245.7, 2019-03-17 03:43:06
63.9, 61.9, 220.6, 244.0, 279.0, 222.5, 207.3, 228.5, 2019-03-17 03:53:08
63.8, 61.9, 250.7, 220.9, 229.9, 250.4, 255.8, 202.2, 2019-03-17 04:03:56
63.7, 62.0, 252.6, 230.6, 233.4, 245.7, 228.7, 198.9, 2019-03-17 04:13:57
63.9, 62.3, 253.1, 249.5, 227.9, 228.3, 238.5, 213.9, 2019-03-17 04:23:58
64.0, 62.1, 233.9, 231.3, 247.6, 245.6, 222.7, 198.5, 2019-03-17 04:34:00
63.8, 62.0, 238.4, 231.1, 245.3, 246.5, 220.5, 193.9, 2019-03-17 04:44:01
63.9, 62.0, 253.8, 227.5, 229.1, 241.9, 244.6, 206.2, 2019-03-17 04:54:02
