s1, s2, s3, s4, s5, s6, s7, s8, Time
63, 63, 273, 268, 276, 254, 243, 243, 2019-01-17 00:16:49
63, 63, 252, 313, 278, 236, 259, 265, 2019-01-17 00:26:51
64, 64, 274, 270, 268, 261, 257, 229, 2019-01-17 00:36:52
64, 64, 272, 256, 274, 277, 243, 219, 2019-01-17 00:46:53
64, 64, 265, 263, 278, 257, 248, 238, 2019-01-17 00:56:54
64, 64, 270, 253, 275, 268, 249, 232, 2019-01-17 01:07:10
64, 65, 273, 277, 266, 258, 244, 239, 2019-01-17 01:17:11
64, 65, 256, 294, 279, 239, 243, 262, 2019-01-17 01:27:12
64, 65, 289, 256, 250, 281, 260, 218, 2019-01-17 01:37:13
64, 65, 262, 256, 283, 257, 255, 236, 2019-01-17 01:47:15
64, 65, 282, 259, 256, 279, 241, 220, 2019-01-17 01:57:16
64, 65, 266, 256, 264, 260, 260, 223, 2019-01-17 02:07:28
64, 65, 271, 272, 260, 254, 250, 233, 2019-01-17 02:17:29
65, 65, 271, 258, 291, 262, 225, 250, 2019-01-17 02:27:31
64, 65, 285, 263, 254, 264, 258, 226, 2019-01-17 02:37:32
64, 65, 255, 262, 287, 251, 235, 245, 2019-01-17 02:47:33
65, 65, 285, 258, 251, 268, 266, 224, 2019-01-17 02:57:34
64, 65, 275, 269, 253, 263, 260, 227, 2019-01-17 03:07:46
65, 65, 274, 262, 262, 268, 240, 226, 2019-01-17 03:17:47
64, 65, 277, 276, 249, 264, 259, 221, 2019-01-17 03:27:49
64, 65, 239, 277, 322, 242, 226, 249, 2019-01-17 03:37:50
65, 65, 273, 250, 269, 278, 237, 222, 2019-01-17 03:47:51
65, 65, 261, 298, 259, 242, 252, 243, 2019-01-17 03:57:52
65, 65, 254, 253, 295, 268, 231, 222, 2019-01-17 04:08:05
65, 65, 251, 262, 301, 254, 228, 235, 2019-01-17 04:18:06
65, 65, 301, 249, 240, 290, 271, 207, 2019-01-17 04:28:07
65, 66, 263, 244, 288, 271, 236, 224, 2019-01-17 04:38:08
65, 66, 286, 243, 256, 279, 247, 225, 2019-01-17 04:48:09
65, 66, 258, 285, 252, 247, 271, 222, 2019-01-17 04:58:11
65, 66, 287, 247, 241, 283, 291, 212, 2019-01-17 05:08:22
65, 66, 269, 256, 256, 279, 248, 207, 2019-01-17 05:18:24
65, 66, 259, 278, 275, 236, 241, 275, 2019-01-17 05:28:25
65, 66, 258, 266, 271, 252, 240, 233, 2019-01-17 05:38:26
65, 66, 279, 265, 253, 262, 246, 223, 2019-01-17 05:48:27
65, 66, 273, 273, 244, 255, 291, 224, 2019-01-17 05:58:28
65, 66, 255, 298, 252, 239, 274, 233, 2019-01-17 06:08:40
65, 66, 242, 265, 302, 244, 239, 235, 2019-01-17 06:18:41
65, 67, 283, 247, 254, 286, 241, 211, 2019-01-17 06:28:43
65, 67, 292, 238, 257, 291, 241, 215, 2019-01-17 06:38:44
65, 67, 264, 273, 256, 246, 249, 241, 2019-01-17 06:48:45
66, 68, 271, 250, 272, 273, 228, 219, 2019-01-17 06:58:46
66, 68, 262, 259, 252, 258, 261, 230, 2019-01-17 07:08:59
66, 68, 276, 252, 245, 262, 276, 219, 2019-01-17 07:19:00
67, 69, 250, 270, 283, 242, 237, 246, 2019-01-17 07:29:01
67, 69, 276, 248, 241, 254, 275, 218, 2019-01-17 07:39:02
67, 69, 272, 241, 255, 280, 249, 209, 2019-01-17 07:49:03
67, 69, 307, 259, 235, 262, 272, 223, 2019-01-17 07:59:05
67, 69, 253, 288, 258, 232, 251, 251, 2019-01-17 08:09:17
67, 69, 269, 249, 245, 268, 256, 209, 2019-01-17 08:19:18
67, 69, 278, 244, 244, 277, 248, 205, 2019-01-17 08:29:20
67, 69, 254, 241, 263, 271, 239, 213, 2019-01-17 08:39:21
67, 69, 245, 292, 262, 230, 241, 241, 2019-01-17 08:49:22
67, 69, 258, 281, 252, 232, 242, 244, 2019-01-17 08:59:23
67, 69, 265, 236, 269, 274, 222, 222, 2019-01-17 09:09:35
67, 69, 253, 278, 251, 236, 258, 231, 2019-01-17 09:19:37
67, 69, 259, 235, 266, 266, 233, 218, 2019-01-17 09:29:38
67, 68, 277, 264, 238, 252, 263, 219, 2019-01-17 09:39:39
67, 68, 267, 242, 256, 273, 232, 208, 2019-01-17 09:49:40
67, 68, 294, 254, 242, 251, 240, 231, 2019-01-17 09:59:42
