s1, s2, s3, s4, s5, s6, s7, s8, Time
62, 58, 390, 400, 326, 334, 379, 317, 2019-01-25 00:17:18
63, 58, 367, 337, 382, 362, 309, 316, 2019-01-25 00:27:19
63, 58, 373, 327, 351, 403, 344, 278, 2019-01-25 00:37:20
63, 58, 352, 346, 376, 359, 321, 305, 2019-01-25 00:47:21
62, 58, 362, 352, 354, 355, 340, 305, 2019-01-25 00:57:23
62, 58, 363, 374, 354, 344, 335, 317, 2019-01-25 01:07:36
63, 58, 360, 342, 354, 361, 350, 298, 2019-01-25 01:17:37
63, 58, 349, 359, 363, 341, 353, 318, 2019-01-25 01:27:38
62, 58, 365, 375, 351, 344, 341, 307, 2019-01-25 01:37:39
62, 58, 343, 364, 398, 338, 310, 342, 2019-01-25 01:47:40
63, 58, 367, 366, 365, 351, 330, 312, 2019-01-25 01:57:42
63, 58, 359, 336, 357, 385, 345, 279, 2019-01-25 02:07:54
62, 58, 364, 355, 352, 351, 347, 308, 2019-01-25 02:17:56
62, 57, 359, 362, 352, 353, 347, 307, 2019-01-25 02:27:57
62, 57, 339, 343, 399, 369, 325, 298, 2019-01-25 02:37:58
63, 58, 362, 357, 361, 341, 334, 324, 2019-01-25 02:47:59
62, 58, 371, 363, 356, 349, 335, 313, 2019-01-25 02:58:00
62, 58, 395, 338, 348, 373, 329, 297, 2019-01-25 03:08:14
62, 58, 407, 367, 326, 351, 389, 304, 2019-01-25 03:18:15
63, 58, 408, 360, 327, 343, 366, 319, 2019-01-25 03:28:16
63, 58, 382, 349, 338, 368, 350, 287, 2019-01-25 03:38:18
62, 58, 366, 360, 351, 351, 342, 311, 2019-01-25 03:48:19
61, 57, 361, 374, 352, 330, 365, 351, 2019-01-25 03:58:20
63, 58, 381, 364, 353, 351, 329, 318, 2019-01-25 04:08:32
63, 58, 358, 351, 378, 351, 322, 312, 2019-01-25 04:18:34
62, 58, 384, 361, 345, 349, 337, 314, 2019-01-25 04:28:35
61, 58, 373, 369, 346, 344, 350, 306, 2019-01-25 04:38:36
62, 58, 368, 363, 359, 344, 334, 323, 2019-01-25 04:48:37
63, 58, 359, 357, 361, 354, 334, 311, 2019-01-25 04:58:39
62, 57, 354, 339, 379, 378, 316, 292, 2019-01-25 05:08:51
62, 57, 377, 336, 354, 388, 347, 288, 2019-01-25 05:18:52
62, 57, 359, 377, 355, 344, 359, 315, 2019-01-25 05:28:53
63, 58, 375, 340, 340, 394, 358, 283, 2019-01-25 05:38:54
62, 58, 370, 374, 344, 332, 367, 333, 2019-01-25 05:48:55
62, 57, 359, 344, 363, 371, 349, 296, 2019-01-25 05:58:57
62, 57, 377, 344, 350, 379, 341, 290, 2019-01-25 06:09:12
63, 58, 374, 348, 340, 359, 370, 306, 2019-01-25 06:19:13
62, 57, 354, 338, 380, 367, 323, 301, 2019-01-25 06:29:15
61, 57, 381, 343, 338, 376, 373, 293, 2019-01-25 06:39:16
62, 57, 364, 369, 368, 332, 336, 367, 2019-01-25 06:49:17
63, 57, 335, 393, 387, 321, 332, 352, 2019-01-25 06:59:18
62, 58, 359, 337, 370, 382, 336, 289, 2019-01-25 07:09:31
62, 57, 329, 404, 418, 321, 310, 349, 2019-01-25 07:19:32
62, 57, 359, 382, 363, 336, 333, 324, 2019-01-25 07:29:33
63, 58, 374, 368, 355, 342, 332, 322, 2019-01-25 07:39:34
63, 57, 361, 325, 378, 402, 315, 291, 2019-01-25 07:49:35
62, 57, 349, 356, 368, 352, 334, 306, 2019-01-25 07:59:37
62, 57, 359, 388, 360, 333, 340, 331, 2019-01-25 08:09:50
63, 58, 370, 353, 357, 360, 331, 304, 2019-01-25 08:19:51
63, 57, 354, 338, 369, 370, 333, 294, 2019-01-25 08:29:52
62, 57, 373, 334, 352, 388, 341, 292, 2019-01-25 08:39:53
62, 57, 352, 356, 378, 357, 328, 303, 2019-01-25 08:49:54
63, 58, 376, 337, 347, 376, 354, 300, 2019-01-25 08:59:56
63, 57, 374, 337, 340, 380, 362, 291, 2019-01-25 09:10:13
62, 57, 344, 337, 386, 360, 337, 307, 2019-01-25 09:20:14
62, 57, 384, 342, 338, 368, 367, 301, 2019-01-25 09:30:15
64, 58, 378, 354, 353, 342, 335, 341, 2019-01-25 09:40:16
64, 57, 356, 345, 354, 354, 348, 317, 2019-01-25 09:50:18
64, 57, 350, 355, 363, 354, 330, 304, 2019-01-25 10:00:31
63, 57, 348, 386, 369, 333, 337, 318, 2019-01-25 10:10:32
64, 57, 370, 339, 362, 384, 325, 289, 2019-01-25 10:20:33
64, 58, 356, 380, 349, 332, 343, 321, 2019-01-25 10:30:35
64, 58, 383, 359, 339, 351, 346, 316, 2019-01-25 10:40:36
64, 58, 366, 361, 347, 346, 341, 312, 2019-01-25 10:50:37
63, 58, 356, 354, 354, 370, 342, 289, 2019-01-25 11:00:50
64, 58, 386, 366, 332, 348, 376, 312, 2019-01-25 11:10:51
64, 57, 369, 342, 349, 377, 349, 294, 2019-01-25 11:20:52
65, 58, 352, 401, 348, 324, 351, 327, 2019-01-25 11:30:53
64, 58, 342, 338, 381, 364, 322, 298, 2019-01-25 11:40:54
64, 58, 368, 393, 345, 327, 356, 328, 2019-01-25 11:50:56
63, 58, 374, 378, 346, 332, 345, 338, 2019-01-25 12:01:10
64, 58, 350, 369, 357, 333, 367, 329, 2019-01-25 12:11:11
65, 58, 359, 394, 360, 333, 328, 316, 2019-01-25 12:21:12
65, 58, 341, 342, 386, 363, 322, 299, 2019-01-25 12:31:13
64, 58, 351, 391, 362, 320, 333, 347, 2019-01-25 12:41:15
64, 58, 361, 366, 350, 344, 350, 304, 2019-01-25 12:51:16
63, 58, 375, 347, 353, 356, 338, 312, 2019-01-25 13:01:28
63, 58, 366, 341, 365, 377, 326, 288, 2019-01-25 13:11:30
65, 58, 372, 364, 340, 351, 369, 312, 2019-01-25 13:21:31
65, 58, 377, 340, 359, 371, 330, 290, 2019-01-25 13:31:32
65, 59, 374, 358, 352, 342, 330, 322, 2019-01-25 13:41:33
64, 59, 392, 357, 327, 355, 366, 312, 2019-01-25 13:51:35
