s1, s2, s3, s4, s5, s6, s7, s8, Time
64.7, 63.4, 223.5, 232.8, 255.4, 237.5, 215.7, 200.4, 2019-03-11 00:13:54
64.7, 63.1, 224.3, 232.2, 263.3, 231.3, 203.2, 213.1, 2019-03-11 00:23:55
64.6, 63.0, 252.7, 219.2, 223.3, 250.1, 237.8, 203.3, 2019-03-11 00:33:56
64.5, 62.9, 230.4, 256.8, 239.2, 222.7, 222.7, 216.4, 2019-03-11 00:43:58
64.4, 62.7, 263.8, 255.4, 217.8, 219.1, 238.0, 221.7, 2019-03-11 00:53:59
64.2, 62.6, 244.6, 249.4, 228.3, 226.9, 232.7, 206.0, 2019-03-11 01:04:48
64.2, 62.6, 248.5, 223.2, 231.0, 254.4, 232.1, 189.5, 2019-03-11 01:14:50
64.1, 62.3, 233.6, 243.4, 243.9, 236.1, 216.8, 200.1, 2019-03-11 01:24:51
63.9, 62.2, 229.5, 230.6, 255.3, 247.2, 212.7, 195.0, 2019-03-11 01:34:52
63.9, 62.2, 251.5, 260.0, 229.1, 214.8, 231.8, 235.1, 2019-03-11 01:44:53
63.8, 61.9, 247.6, 232.3, 230.8, 231.5, 232.4, 219.2, 2019-03-11 01:54:54
63.7, 61.9, 240.4, 244.6, 237.7, 236.7, 224.5, 196.5, 2019-03-11 02:05:43
63.7, 61.8, 248.3, 218.8, 238.2, 255.7, 221.8, 194.1, 2019-03-11 02:15:44
63.6, 61.7, 234.1, 242.8, 244.6, 226.4, 218.8, 221.9, 2019-03-11 02:25:45
63.5, 61.7, 235.5, 227.5, 242.5, 255.1, 220.2, 194.6, 2019-03-11 02:35:46
63.4, 61.5, 239.2, 266.9, 237.3, 218.6, 223.6, 226.7, 2019-03-11 02:45:48
63.3, 61.5, 246.2, 235.0, 227.9, 243.0, 246.4, 202.3, 2019-03-11 02:55:49
